subscription_id,user_id,plan,start_date,end_date,mrr
aa7f367f-9c7f-44b1-a0d9-05f547b7acbd,1e24b07a-4dd4-4316-bcab-26479cd4ea0d,pro,2026-06-21,,49
7c379685-a560-4064-9bf0-b1729abbe911,ab14970c-3239-4858-8b98-cc89ebdb9654,basic,2026-01-10,,19
cd9df5c9-7257-42d7-85bc-4f8013bc2e97,70d64d3a-d3a7-4446-9e34-a17bf0ebf782,pro,2025-11-30,,49
1352510e-79a0-4f76-8e5c-db0cb7741975,017613bf-520d-488d-9c3d-a66082011a43,enterprise,2026-03-07,,199
6514da2e-f3d1-4fd8-8b95-e57e160eeea4,73f0c97a-3f31-41cc-86fe-6e6d03766610,basic,2026-03-27,,19
38bed4e8-bd8a-427e-81a7-350055f2d61e,508128fa-cb4c-419d-9ae4-59ae14ffab7d,pro,2026-04-18,,49
2330e133-547b-4577-a585-e5efb13c5ffb,8a917732-45c3-4344-aa43-980f668ef603,pro,2025-12-10,,49
2395b03b-15d3-4389-b74c-f63eb1e49fc7,2d2edcd4-90e1-4684-8f33-3c8336f8583f,enterprise,2025-12-14,2026-05-29,199
89ccd6a6-a502-4e95-8192-19148e5a0925,4f978efe-5d63-46ac-86fb-f8700546f571,basic,2026-07-03,,19
bca730ab-d9e1-4001-a175-b5ff3d6fb888,b0ab5f55-6a40-411e-a3e5-427e21c42196,basic,2026-05-13,,19
f0c879d4-0c46-4d28-8dad-ed1f71242328,04541114-e4d5-4a1f-90d9-5ed932345afa,basic,2025-11-23,,19
f198a801-8340-47ae-a62d-005004ff3348,b173d3c1-ae28-4368-aec1-cf4705a03cb8,enterprise,2026-04-30,,199
f5631a7a-a0af-4eba-9056-c68e9ca8f35f,60372e4e-7b00-4534-a365-f0b9f1ce5aca,enterprise,2026-03-18,,199
741ae998-9573-4006-9ee7-f78f333af6d2,7c31c442-046a-4113-b179-62afb3f29f24,enterprise,2025-10-08,,199
4a4c8ae5-d692-413c-9361-c547745996f2,cf5701c8-8f6d-4bd7-b049-26c5c53411ed,basic,2026-03-10,2026-06-17,19
9a22550e-1349-4688-a8ad-21f757928dc0,f627e3ce-abb8-4da4-9041-d059da31cec5,enterprise,2025-08-11,2026-01-19,199
596f56f7-83c9-4053-a2c7-1f1c35d71989,c4d23623-f23a-4989-b0b9-cd30508e8349,basic,2026-05-21,,19
873d2f2b-5d79-4bb9-b50b-b7ca17619dc0,602d8aaf-045b-4ff1-9858-ea635cdd0ebf,basic,2025-07-26,,19
2f6c9e73-19c6-495f-abf7-b43afd6c7f45,75dbbf07-2bb3-442b-9664-17bcc0390dd1,basic,2025-09-10,,19
eb279338-e17d-4316-854c-a78886ac8c66,d7058a62-0b30-45ce-a60e-fca0459d927c,basic,2025-08-09,2026-01-30,19
22274f33-de2f-4211-a524-e294e4a7cdfb,3b582437-bbe8-4880-b2fd-b18f2f34bafc,basic,2026-02-28,,19
6f54850c-89d1-4f6b-8689-defbdd473ee6,a9c0c49c-77d8-4ec7-bfd7-71d50ceb1aae,basic,2025-12-31,,19
5c5ba1dc-537a-4bed-a167-0c6f7e853c30,b9a559f4-5962-4b12-bbc7-72807d1b9763,basic,2025-11-29,,19
b9654b15-902b-43ee-ad04-ed9291d91d12,9a62e8bf-8a79-48d3-a77b-5d14b75c68ce,basic,2026-04-13,,19
1398c18c-25c2-48e8-ac2e-2d6c406ce6df,af28674e-17f8-4067-9efd-4c3cef7a8c56,pro,2026-03-20,,49
492ca5cb-2f66-4593-9d35-9475d66396cb,eb068e6c-5def-4c25-b16b-126242e6d64d,basic,2026-01-10,,19
cf0727bb-b911-4385-8842-0772afe3bd86,a604c4ba-19fa-494a-9218-5a116c405538,pro,2026-02-12,,49
5c502e72-6233-4226-ad3f-aa9f158bc502,4b2d85d7-f9fa-4540-b287-d80499065d2d,enterprise,2026-02-19,,199
af7bf4c8-9657-4ffa-89e7-8ae37181c191,a9313b24-b464-46cd-b8af-036e5855b4b1,basic,2026-05-22,2026-08-27,19
c133eed0-5c88-4360-8080-954f4106a27a,2bd84f41-ed34-4eb8-9eef-083d9f6d0889,basic,2025-08-31,,19
f16f1bd0-e653-4d6b-9cae-104466252e31,3f992143-0e35-423b-8819-5ade3b4350d0,basic,2026-04-04,,19
f07d6d6c-261d-4652-b99c-c4fdd80149e9,d9f336cc-b39c-41b7-b4ef-6a6ee2020fb5,basic,2025-08-23,,19
6bb66ae2-dc08-41e2-b45e-958387b569d9,fb79cd65-2ab4-46b0-8b69-1a70c1f090fe,basic,2025-12-17,,19
c2e0b251-c76a-4c96-8b5d-fdaab738ba2a,53386435-f49a-4f98-b1f8-a774dd116ff2,pro,2025-06-28,,49
8762b043-fb13-43bb-89b5-74cb93830cb5,63ce5e1e-8f91-4f04-8f88-0205e9052685,basic,2026-06-02,,19
6e3de48e-1c3f-4738-8349-6b8ee8472f4b,5d1a40a2-ae97-4285-bb60-8f8280bd0c8a,basic,2025-10-16,,19
a660825f-ed7a-4e64-a643-defe012a32c9,8c044f2c-dffe-40b6-b9a4-44e43e8552f6,basic,2025-10-04,,19
